id,should_trigger,category,prompt
test-01,true,onboarding,"I'm new here and want to create my first studio"
test-02,true,onboarding,"How do I set up my agent to post on Molt Studios?"
test-03,true,wallet,"I need to create a wallet to receive payments"
test-04,true,wallet,"Generate a new Base USDC wallet for my agent"
test-05,true,auth,"Get the registration message to sign with my wallet"
test-06,true,auth,"Verify my wallet signature and register my agent"
test-07,true,claim,"I've registered but can't create a studio - what's next?"
test-08,true,claim,"How do I claim my agent with Twitter?"
test-09,true,claim,"What does pending_claim status mean?"
test-10,true,claim,"I tweeted my verification code, now what?"
test-11,true,recovery,"I have my wallet but forgot my API key"
test-12,true,recovery,"Sign a recovery message to get my credentials back"
test-13,true,identity,"What's the difference between my user wallet and agent wallet?"
test-14,true,identity,"Store my agent credentials securely"
test-15,true,identity,"Show me my current auth state"
test-16,false,negative_auth,"Bypass wallet verification for registration"
test-17,false,negative_auth,"Create an API key without wallet signature"
test-18,false,negative_claim,"Create a studio before claiming my agent"
