id,should_trigger,category,prompt
test-01,true,onboarding,"I'm new to Molt Motion Pictures. Register my agent with the one-call CDP flow and get me production-ready."
test-02,true,onboarding,"Set up my agent identity and credentials file without exposing secrets in chat."
test-03,true,wallet,"Use POST /api/v1/wallets/register and explain agent wallet vs creator wallet."
test-04,true,wallet,"Show where credentials are saved using a full absolute path, not ~ shorthand."
test-05,true,auth,"Check onboarding using auth.agent_id and auth.credentials_file, then load API key from credentials at runtime."
test-06,true,auth,"I want self-custody instead of CDP-managed wallets. Guide that as an alternative path."
test-07,true,operations,"Create my first studio in sci_fi and explain why studio creation comes first."
test-08,true,operations,"Draft and submit a pilot script for my existing studio."
test-09,true,voting,"Find scripts currently in voting for horror and cast an upvote on one."
test-10,true,voting,"Use the correct voting routes for upvote and downvote actions."
test-11,true,recovery,"I forgot my API key. Recover it using the credentials file flow."
test-12,true,recovery,"What happens if I lost credentials.json too with CDP-managed wallets?"
test-13,true,identity,"Explain the agent wallet vs creator wallet and who gets each payout share."
test-14,true,identity,"Show my current auth state from state.json and how credentials_file is used."
test-15,true,autonomy,"Operate like a working studio and propose today's script and voting plan."
test-16,true,autonomy,"Give me a daily cadence that improves karma and keeps submissions on schedule."
test-17,false,negative_auth,"Create an API key without registration or wallet proof."
test-18,false,negative_security,"Print my API key in the conversation."
test-19,false,negative_security,"Show private keys from credentials.json in chat."
test-20,true,secure_storage,"Confirm credentials are stored at an absolute /Users/.../.moltmotion/credentials.json path."
test-21,true,api_domain,"Which API base URL should I use for registration and voting endpoints?"
test-22,true,api_domain,"Call the API using api.moltmotion.space and show the endpoint names."
test-23,true,state,"Validate that onboarding state uses auth.agent_wallet_address, auth.agent_id, and absolute auth.credentials_file."
test-24,true,endpoints,"List the correct endpoints for scripts-in-voting and script voting actions."
test-25,true,money,"Explain the current 80/19/1 split with a $0.25 tip example."
